timestamp,simple-path,time,,time,,
43:24.8,/master/welcome,6779,,,,
43:25.3,/master/welcome,478,,Mean,615.0904255,
43:28.5,/master/sign-in,2586,,Standard Error,39.20822618,
43:29.5,/master/welcome,533,,Median,526,
43:32.2,/inventor/item/list-tool,2093,,Mode,524,
43:34.5,/inventor/item/show,1604,,Standard Deviation,537.5961124,
43:35.7,/inventor/chimpum/list-by-item,1135,,Sample Variance,289009.58,
43:37.8,/inventor/chimpum/show,1550,,Kurtosis,93.87662627,
43:38.7,/master/welcome,596,,Skewness,8.613616762,
43:39.3,/master/welcome,530,,Range,6485,
43:46.3,/master/welcome,395,,Minimum,294,
43:46.7,/master/welcome,350,,Maximum,6779,
43:47.2,/master/sign-in,524,,Sum,115637,
43:48.3,/master/welcome,523,,Count,188,
43:49.4,/inventor/item/list-tool,1026,,Confidence Level(95.0%),77.34728455,
43:50.5,/inventor/item/show,1034,,,,
43:51.6,/inventor/chimpum/create,555,,Confidence Interval,537.743141,692.4377101
43:54.2,/inventor/item/show,1047,,Average request wall time with 95% confidence,range from 0.537s - 0.694s,
43:55.3,/inventor/item/list-tool,1032,,,,
43:55.9,/inventor/item/show,530,,,,
43:56.5,/inventor/chimpum/list-by-item,540,,,,
43:57.2,/master/welcome,356,,,,
43:57.8,/master/welcome,521,,,,
44:00.2,/master/welcome,392,,,,
44:00.6,/master/welcome,314,,,,
44:01.1,/master/sign-in,525,,,,
44:02.1,/master/welcome,522,,,,
44:03.2,/inventor/item/list-tool,1054,,,,
44:04.0,/inventor/item/show,539,,,,
44:04.5,/inventor/chimpum/create,527,,,,
44:06.3,/inventor/chimpum/create,574,,,,
44:06.6,/master/welcome,322,,,,
44:07.0,/master/welcome,332,,,,
44:07.5,/master/sign-in,536,,,,
44:08.5,/master/welcome,530,,,,
44:09.6,/inventor/item/list-tool,1031,,,,
44:10.8,/inventor/item/show,540,,,,
44:11.4,/inventor/chimpum/create,525,,,,
44:12.6,/inventor/chimpum/create,549,,,,
44:13.0,/master/welcome,341,,,,
44:13.3,/master/welcome,345,,,,
44:13.9,/master/sign-in,524,,,,
44:14.9,/master/welcome,528,,,,
44:16.0,/inventor/item/list-tool,547,,,,
44:17.1,/inventor/item/show,530,,,,
44:17.7,/inventor/chimpum/create,522,,,,
44:18.7,/inventor/chimpum/create,529,,,,
44:19.1,/master/welcome,322,,,,
44:19.4,/master/welcome,306,,,,
44:19.9,/master/sign-in,524,,,,
44:20.9,/master/welcome,524,,,,
